City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Ormara,PK,81.57,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
465,Winneba,GH,84.2,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
467,Port-Gentil,GA,82.2,clear sky,-0.7193,8.7815,Fengshui Residence
468,Marihatag,PH,76.64,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
472,Pauini,BR,76.91,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
475,Tuy Hoa,VN,77.13,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
476,Garowe,SO,77.83,scattered clouds,8.4054,48.4845,Curubo Hotel
480,Portobelo,PA,90.0,scattered clouds,9.55,-79.65,Scuba Portobelo
482,Natal,BR,82.4,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
485,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
487,Ipixuna,BR,82.4,broken clouds,-1.7625,-48.8043,Casa da Oscarina
488,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
492,Acapulco,MX,86.0,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
493,Kismayo,SO,82.56,broken clouds,-0.3582,42.5454,Agan-Hotel
495,Witu,KE,79.48,broken clouds,-2.3889,40.4382,New City Guest House
502,Sungairaya,ID,77.29,broken clouds,0.7,108.9,Mess P.Milu
508,Denpasar,ID,78.8,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
510,Sumbe,AO,79.54,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
514,Dumka,IN,85.23,clear sky,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
520,Najran,SA,78.8,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
521,Cabinda,AO,78.84,few clouds,-5.55,12.2,Hotel Maiombe
523,Makakilo City,US,82.4,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
527,Tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
529,Sakakah,SA,87.8,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
530,Kudat,MY,77.0,scattered clouds,6.8837,116.8477,Dream Garden Hotel
531,Islamkot,PK,81.5,clear sky,24.6997,70.17699999999999,Haji Hotel
532,Yarada,IN,82.4,mist,17.65,83.2667,Jeevan
535,Ransang,PH,77.77,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
538,Non Sang,TH,82.99,broken clouds,16.8687,102.5664,Sabaidee@Home Nonsang
542,Agua Dulce,MX,84.2,broken clouds,18.1333,-94.1333,Hotel Victoria
546,Oranjestad,AW,84.2,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
547,Acarau,BR,78.84,few clouds,-2.8856,-40.12,castelo pizzaria
552,Amahai,ID,79.0,broken clouds,-3.3333,128.9167,HOTEL ISABELA
554,Lubao,PH,75.2,scattered clouds,14.9167,120.55,Hacienda Gracia
560,Ambon,ID,75.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
