City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Lagoa,PT,2021-04-21 21:16:24,39.05,-27.9833,63.14,92,92,20.07
91,Shihezi,CN,2021-04-21 21:16:24,44.3,86.0333,39.47,90,100,7.7
92,Phek,IN,2021-04-21 21:16:25,25.6667,94.5,52.45,63,74,1.95
93,Litovko,RU,2021-04-21 21:16:26,49.2361,135.1742,41.31,56,0,2.35
94,Lasa,IT,2021-04-21 21:16:27,46.6166,10.7002,51.8,65,40,8.05
95,Flin Flon,CA,2021-04-21 21:16:27,54.7682,-101.865,55.4,26,1,9.22
96,Port Blair,IN,2021-04-21 21:16:29,11.6667,92.75,80.89,76,45,6.22
97,Kodiak,US,2021-04-21 21:16:30,57.79,-152.4072,41.0,93,90,14.97
98,Chamba,IN,2021-04-21 21:16:31,32.5667,76.1333,55.22,88,100,6.98
99,Saint George,US,2021-04-21 21:16:31,37.1041,-113.5841,79.0,7,1,18.41
100,Constitucion,CL,2021-04-21 21:16:32,-35.3333,-72.4167,57.33,95,99,13.22
101,High Rock,BS,2021-04-21 21:16:33,26.6208,-78.2833,82.4,69,75,8.05
102,Victoria,HK,2021-04-21 21:12:05,22.2855,114.1577,73.0,81,0,1.01
103,Verkhnevilyuysk,RU,2021-04-21 21:16:34,63.4453,120.3167,1.18,98,95,2.59
104,Deputatskiy,RU,2021-04-21 21:16:35,69.3,139.9,5.34,92,100,4.97
105,San Cristobal,VE,2021-04-21 21:15:03,7.7669,-72.225,87.8,55,40,12.66
106,Ahuimanu,US,2021-04-21 21:16:36,21.4447,-157.8378,82.0,73,40,10.36
107,Kieta,PG,2021-04-21 21:16:37,-6.2167,155.6333,80.35,80,100,1.86
108,Rojhan,PK,2021-04-21 21:16:37,28.6868,69.9534,79.95,29,2,6.98
109,Port Elizabeth,ZA,2021-04-21 21:16:38,-33.918,25.5701,66.2,94,90,11.5
110,Nivala,FI,2021-04-21 21:16:38,63.9167,24.9667,44.01,53,100,1.01
111,The Valley,AI,2021-04-21 21:16:39,18.217,-63.0578,82.4,74,40,16.11
112,Puerto Ayora,EC,2021-04-21 21:16:40,-0.7393,-90.3518,82.4,74,75,6.91
113,Sao Jose Da Coroa Grande,BR,2021-04-21 21:13:33,-8.8978,-35.1478,79.3,78,72,8.32
114,West Memphis,US,2021-04-21 21:15:26,35.1465,-90.1845,57.2,24,1,8.05
115,Arraial Do Cabo,BR,2021-04-21 21:16:42,-22.9661,-42.0278,71.6,94,40,8.05
116,Portland,US,2021-04-21 21:15:48,45.5234,-122.6762,75.99,28,20,9.22
117,Huntingdon,GB,2021-04-21 21:16:44,52.3305,-0.1865,41.0,78,33,1.99
118,Santa Maria,BR,2021-04-21 21:13:02,-29.6842,-53.8069,75.2,60,0,12.66
119,Beloha,MG,2021-04-21 21:16:45,-25.1667,45.05,69.69,82,8,14.16
120,Lohardaga,IN,2021-04-21 21:16:46,23.4333,84.6833,77.0,65,75,3.67
121,Ancud,CL,2021-04-21 21:14:02,-41.8697,-73.8203,55.99,76,40,2.3
122,Khatanga,RU,2021-04-21 21:16:47,71.9667,102.5,11.98,94,100,16.82
123,Fomboni,KM,2021-04-21 21:16:48,-12.28,43.7425,82.49,72,100,9.13
124,Pritzwalk,DE,2021-04-21 21:16:48,53.1494,12.1741,44.01,63,15,3.0
125,Clyde River,CA,2021-04-21 21:16:49,70.4692,-68.5914,12.2,92,90,18.41
126,Madimba,TZ,2021-04-21 21:16:49,-10.4,40.3333,75.2,94,20,16.11
127,Alice Springs,AU,2021-04-21 21:16:50,-23.7,133.8833,48.2,61,0,5.75
128,Lagos,NG,2021-04-21 21:13:22,6.5833,3.75,84.2,84,20,8.05
129,Bengkulu,ID,2021-04-21 21:16:50,-3.8004,102.2655,75.31,90,66,3.42
130,Kaitangata,NZ,2021-04-21 21:16:51,-46.2817,169.8464,50.94,92,86,4.43
131,Rumonge,BI,2021-04-21 21:16:51,-3.9736,29.4386,70.05,85,99,2.44
132,Pahrump,US,2021-04-21 21:16:52,36.2083,-115.9839,73.99,16,0,3.0
133,Sao Joao Da Barra,BR,2021-04-21 21:16:52,-21.6403,-41.0511,78.8,57,0,16.11
134,Kodinsk,RU,2021-04-21 21:16:52,58.6881,99.1844,4.41,93,6,1.79
135,Paamiut,GL,2021-04-21 21:16:53,61.994,-49.6678,34.77,80,100,4.99
136,Jalu,LY,2021-04-21 21:16:53,29.0331,21.5482,70.79,23,50,9.8
137,Georgetown,MY,2021-04-21 21:16:54,5.4112,100.3354,80.6,89,20,2.3
138,Maun,BW,2021-04-21 21:16:54,-19.9833,23.4167,62.6,55,0,3.44
139,Pocone,BR,2021-04-21 21:16:55,-16.2567,-56.6228,90.16,36,23,1.83
140,Provideniya,RU,2021-04-21 21:16:55,64.3833,-173.3,28.4,64,0,1.74
141,Lata,PT,2021-04-21 21:16:55,40.1629,-8.3327,60.8,94,75,8.05
142,Upernavik,GL,2021-04-21 21:12:55,72.7868,-56.1549,15.67,76,100,6.76
143,Padang,ID,2021-04-21 21:16:56,-0.9492,100.3543,75.97,88,98,3.38
144,Alofi,NU,2021-04-21 21:16:56,-19.0595,-169.9187,84.2,74,40,9.22
145,Eenhana,NA,2021-04-21 21:16:57,-17.4667,16.3333,68.0,52,71,4.61
146,Vanavara,RU,2021-04-21 21:16:57,60.34,102.2797,4.73,98,45,0.69
147,Yolombo,CO,2021-04-21 21:16:58,6.5984,-75.0114,69.8,56,75,4.61
148,Rabo De Peixe,PT,2021-04-21 21:16:58,37.8,-25.5833,64.4,94,75,18.41
149,Tolentino,IT,2021-04-21 21:16:59,43.2126,13.2901,55.99,71,100,3.0
150,Saldanha,ZA,2021-04-21 21:16:59,-33.0117,17.9442,57.2,82,24,1.14
151,La Merced,CO,2021-04-21 21:17:00,5.4019,-75.8847,80.6,54,40,2.3
152,Caconda,AO,2021-04-21 21:17:00,-13.7333,15.0667,66.52,51,94,2.57
153,Zaraza,VE,2021-04-21 21:17:01,9.3503,-65.3245,94.41,31,2,11.7
154,Kapaa,US,2021-04-21 21:17:02,22.0752,-159.319,79.0,78,1,8.05
155,Srednekolymsk,RU,2021-04-21 21:17:02,67.45,153.6833,33.04,75,0,8.81
156,Torbay,CA,2021-04-21 21:17:03,47.6666,-52.7314,48.99,61,20,17.27
157,Lazaro Cardenas,MX,2021-04-21 21:17:03,17.9583,-102.2,85.68,37,0,11.21
158,Terrace Bay,CA,2021-04-21 21:17:04,48.7834,-87.1,35.6,47,40,8.05
159,Birao,CF,2021-04-21 21:17:04,10.2849,22.7882,83.39,37,97,5.03
