City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,East London,ZA,-33.0153,27.9116,67.84,64,100,9.64,overcast clouds
116,Dolores,AR,-36.3132,-57.6792,53.85,82,29,7.05,scattered clouds
117,Nador,MA,35.174,-2.9287,62.6,88,0,3.44,clear sky
118,Sorland,NO,67.667,12.6934,37.51,59,86,8.37,overcast clouds
119,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,76,0,1.14,clear sky
120,Moose Factory,CA,51.2585,-80.6094,30.2,47,1,9.22,clear sky
121,Cervo,ES,43.6702,-7.4101,55.99,89,100,1.01,overcast clouds
122,Ballina,AU,-28.8667,153.5667,64.4,88,90,6.91,overcast clouds
123,Gravdal,NO,68.1214,13.5031,36.57,61,97,6.8,overcast clouds
124,Padang,ID,-0.9492,100.3543,77.29,84,80,3.42,broken clouds
125,Ahipara,NZ,-35.1667,173.1667,62.46,78,62,8.5,broken clouds
126,Mayo,US,38.8876,-76.5119,63.0,56,70,1.01,broken clouds
127,Murdochville,CA,48.9583,-65.5006,41.0,81,96,16.11,overcast clouds
128,Glyadyanskoye,RU,54.9075,65.0883,44.38,66,83,7.74,broken clouds
129,Dikson,RU,73.5069,80.5464,17.08,94,100,11.79,light snow
130,Hervey Bay,AU,-25.2986,152.8535,71.01,75,3,4.0,light rain
131,Airai,TL,-8.9266,125.4092,60.35,72,22,1.83,few clouds
132,Iwanai,JP,42.9744,140.5089,40.17,51,14,5.68,few clouds
133,Abu Kamal,SY,34.4506,40.9171,83.61,20,73,9.98,broken clouds
134,Acarau,BR,-2.8856,-40.12,78.12,78,11,9.93,few clouds
135,Mackay,AU,-21.15,149.2,73.99,73,90,13.8,overcast clouds
136,Norman Wells,CA,65.282,-126.8329,37.4,38,20,12.66,few clouds
137,Port Alfred,ZA,-33.5906,26.891,70.56,58,100,12.08,overcast clouds
138,Sinnamary,GF,5.3833,-52.95,77.9,88,70,11.99,broken clouds
139,Paralimni,CY,35.0375,33.9833,62.01,82,0,1.14,clear sky
140,Havoysund,NO,70.9963,24.6622,32.0,93,75,8.05,broken clouds
141,Tasiilaq,GL,65.6145,-37.6368,37.4,81,90,11.5,light rain
142,Teguise,ES,29.0605,-13.564,68.0,73,20,10.36,few clouds
143,Ribeira Grande,PT,38.5167,-28.7,59.85,83,100,11.97,overcast clouds
144,Kalmunai,LK,7.4167,81.8167,77.7,81,48,4.21,scattered clouds
145,Brownsville,US,25.9018,-97.4975,82.4,57,1,12.66,clear sky
146,Marawi,PH,7.9986,124.2928,78.01,88,100,1.01,overcast clouds
